DB09037,DB09054,D002283
DB00741,DB00531,D010265
DB00352,DB00773,D009370
DB14707,DB06699,D011469
DB00099,DB00541,D009196
DB01211,DB01060,D001423
DB01233,DB00433,D012817
DB12121,DB08935,D007160
DB00526,DB00112,D009380
DB08911,DB08912,D015179
DB00762,DB00853,D020295
DB00531,DB00316,D007410
DB11581,DB11759,D015470
DB01101,DB00650,D001984
DB00072,DB00445,D001941
DB00531,DB00552,D012140
DB04572,DB00864,D054198
DB06719,DB11853,D009375
DB00811,DB09183,D008107
DB00437,DB00688,D002283
DB00480,DB08889,D006402
DB00531,DB00997,D009190
DB09110,DB00541,D007160
DB09037,DB16425,D010049
DB09035,DB00515,D001661
DB08935,DB00526,D009370
DB00633,DB01221,D017202
DB00300,DB09299,D006521
DB09065,DB12264,D007154
DB00635,DB11767,D020274
DB00531,DB14865,D018204
DB01234,DB00541,D008223
DB00014,DB09073,D001941
DB00441,DB01234,D009369
DB01254,DB00399,D001943
DB01234,DB06769,D019337
DB01008,DB00531,D006105
DB00773,DB00970,D009423
DB01005,DB00544,D002277
DB09128,DB00246,D019967
DB12264,DB00503,D012192
DB00928,DB13874,D000754
DB00531,DB01073,D012872
DB00531,DB01073,D002577
DB01076,DB00175,D012216
DB00741,DB08886,D007154
DB01269,DB00762,D009371
